#  RunNo  LumiNo        EvtNo
  200091     668    796272021
  200091     707    838220015
  200091    1480   1605141983
  200091    1099   1262803505
  200525     355    474786588
  200161      52     77522590
  200161     104    164812353
  200525     197    238594017
  200525     528    692146464
  200186      22     32235359
  200188      17     23228913
  200188     278    360052675
  200190     123    160929445
  200190      35     46078758
  200190     646    733046809
  200190     310    381215523
  200190     386    467059307
  200190     367    446100211
  200190     527    615844036
  200190     639    725964276
  200190     666    752583431
  200190     837    909566987
  200229      54     49321338
  200229      58     53383962
  200229     235    257807934
  200229     279    306576122
  200229     164    177062194
  200229     321    351219330
  200229     210    230564809
  200243     102     85963069
  200243     129    133059164
  200244      84    134169210
  200244      19     32155199
  200244      43     70041362
  200244      52     85436186
  200244      52     85142747
  200244     163    249747551
  200244     181    274737678
  200244     218    326043197
  200244     405    562224507
  200244     440    603453175
  200244     466    631996423
  200369      98    114083838
  200525     264    344301261
  200525     348    464370505
  200473     286    287830407
  200519     171    253919175
  200473     283    284918720
  200473     231    218642660
  200473     245    235681427
  200519     217    314421294
  200519     729    901516520
  200473     752    810865810
  200473     858    914283279
  200473     932    982639229
  200473     947    995982454
  200491     160    173808613
  200519     234    334020417
  200519     278    389505378
  200519     349    475236487
  200519     465    603929741
  200519     663    827920978
  200519     720    891682076
  200519     675    841929349
  200519     724    895859017
  200525     210    258589573
  200525     243    311193668
  200525     392    522951961
  200525     812   1005388442
  200599     102     64977156
  200600     523    707789858
  200600     169    266757150
  200600     816   1034498564
  200600     790   1005203545
  200600     986   1215058506
  200600     821   1039528117
  200600    1115   1341648489
  200976     137     91212130
  201164      78    124290068
  201611     185    195487727
  201191     414    637068950
  201159     199    259799299
  200991     220    317031748
  200991      90    138155810
  200991     132    199110193
  201159     163    198392696
  200991     247    351035485
  200991     202    293028624
  200991     285    398720196
  200991     334    457291807
  200991     970   1159414873
  200991     568    719430224
  200991     651    817891654
  200991     754    934649448
  200991     847   1034116847
  200991     947   1137108903
  200992     285    248131181
  201197       1        71936
  200992     105     95440745
  200992     217    191720181
  200992     126    113508229
  200992     138    124780494
  200992     244    214515519
  200992     440    370920176
  200992     418    353582790
  201062     110     88743620
  201062     143    150054467
  201062     183    222716220
  201191     118    127810590
  201611     101     42495618
  201191     338    521813493
  201174     394    251746799
  201679      26     21901556
  201097     318    423112984
  201097     225    283407228
  201097     277    364061534
  201097     456    612346003
  201718      79     53136587
  201097     398    536257479
  201097     375    503936397
  201097     437    587057098
  201114       6     11590026
  201191     587    872437903
  201159     177    223251048
  201164      63    100146227
  201164      98    156032992
  201678      36     32323171
  201678      94     84545819
  201678      99     89225122
  201164     337    487524643
  201678     111     99754806
  201168     116    128994807
  201168     371    415994596
  201168     506    560846088
  201168     608    664036012
  201168      82     91911817
  201168     708    759724753
  201168     226    248553437
  201168     373    418885943
  201168     451    502684433
  201168     519    574039714
  201168     636    692007985
  201173     348    292596839
  201173     214    185736988
  201824      93     83739573
  201708      42     39391167
