#  RunNo  LumiNo        EvtNo
  202973     372    386949069
  202973     968    875033757
  202973    1122    981152814
  203002     259    343026584
  203002     288    386324129
  203002     553    731341306
  203002     937   1161481151
  203002    1122   1357698665
  203002    1577   1768018497
  204564      56     67504683
  204564     379    420155800
  204564     247    284194221
  205193      84     57789108
  203830     114     61211115
  203894     771    854534375
  203894     636    713020244
  203833      52     44198004
  203835      47     35246111
  203835     156    112166320
  203853     128     69170304
  203853     204    174219125
  203894     372    417674097
  203894     154    146719712
  203894     186    191537377
  203894     143    131171221
  203894     263    291023692
  203894     642    719716364
  203894     531    593909447
  204544     198    282158963
  204544     275    378141221
  204544     308    417196484
  203894     982   1053370710
  203909     157    189202321
  203909     224    302247830
  203909     297    420761454
  203912      18     24449161
  205193     154    187669936
  203912     273    331479646
  203912     448    521748858
  205303      44     64401789
  203912     260    316820273
  203912     268    325906872
  203912     499    579303021
  203912     449    523796038
  203912     495    575541994
  205193     884   1126772334
  203912     585    672626728
  203912     684    775284378
  203912     697    787542513
  203987     237    283441073
  203987     251    298517624
  203987     598    687872648
  203987     599    689201194
  204563     242    306545697
  203994     178    165984882
  203994     193    176940919
  204563     107     75388413
  204563     126    108508971
  203994     392    319327228
  204113     237    341425894
  204113     422    638890122
  204577     695    828976963
  204113     462    696172218
  204113     503    752928953
  204113     491    736544005
  205217      20     21079151
  204113     647    939327759
  205217     147    153189630
  204250     173    193779291
  204577     197    271068432
  205217      51     54252177
  204250     281    368475462
  204250     313    416511620
  204250     277    362358118
  204250     469    628595826
  204250     639    827487628
  204250     610    795376695
  204541      61    107908857
  204541     125    226837675
  204601     447    543398300
  204544     210    297493706
  204544     338    451802277
  204553      57     50358458
  204554     216    174562658
  204554     159    129634287
  204554     188    152321494
  204554     252    202076358
  204555     260    171012519
  204555     208    138321575
  204563     450    615749786
  204576     212    322579601
  204564     566    622785694
  204564     713    778023597
  204564    1136   1165594405
  204576      54     48140572
  204576     155    223948861
  205344     835    901909862
  204576      73     83103462
  204576     145    206202730
  204576     181    271151861
  204577     548    671499808
  204577     359    466876792
  204577     490    610240799
  204577     867   1018098754
  204577    1101   1249849215
  204577     711    847591959
  204577     909   1061356633
  204599     165    222625922
  205339     127    139826808
  204601     490    586533621
  204601     505    604462598
  204601     576    685115810
  204601     898   1008689765
  204601     904   1014196028
  204601    1003   1102292868
  204601    1193   1260033500
  205111     365    513332932
  205339     202    263166828
  205158     115    115095270
  205158     140    162318675
  205158     272    383992888
  205158     246    343650676
  205158     259    363608667
  205158     289    409049320
  205158     716    935708380
  205158     382    540871991
  205158     700    918773359
  205158     732    952129854
  205310     206    272761679
  205193     191    252840620
  205193     545    755414445
  205303      99    161913241
  205193     795   1026172993
  205193     799   1029991133
  205233      96     48289259
  205236       4      4989098
  205236     126    190052018
  205238      64     69683505
  205238      81     87809096
  205238     381    408010618
  205238     368    395233310
  205238     370    396681443
  205238     545    566846035
  205310     336    466797463
  205310     408    562343442
  205311     304    330237532
  205311     990    943888625
  205311    1161   1066402677
  205311     209    225008617
  205311     647    666231319
  205311     927    896524274
  205311     701    712979856
  205339      91     75947930
  205339     168    208936299
  205339     239    320015571
  205339     311    426012291
  205339     374    512866936
  205344     245    285599241
  205344     265    306925048
  205344     493    555624289
  205344    1424   1387405014
  205344     671    743818173
  205344    1054   1098197079
  205344     959   1015038760
  205666     192    292744776
  205666     114    151860532
  205666     118    159284861
  205666     165    244391043
  205826     168    212427647
  206088     110     95960035
  206208     292    315189237
  206476     157    190610109
  205718     679   1051546750
  205515     154    170824344
  205515     199    238390751
  205519      37     50208605
  205519     156    195183801
  205519      94    121863919
  205519     192    235462039
  205667     201    210366022
  205519     362    420273667
  205519     340    395993454
  205519     451    514494847
  205526      81     77814868
  205526     185    171669984
  205526     308    273846177
  205617     339    365851898
  205617     276    299970441
  205617     494    513726766
  205617     128    138014785
  205666     672    978003217
  205667     430    465188736
  205667     902    908935566
  205667     907    913309727
  205683     116    117332726
  205683     229    293519355
  205774      19     29858741
  205683     274    355569669
  205694     113    119856341
  205694     407    424617700
  205694     778    719110719
  205694     861    774288540
  205694     497    503991948
  205718      69     84741957
  205908     192    254851637
  205718     129    198731539
  205718     151    238485903
  205718     605    957638832
  205718     680   1052112008
  205781     169    279584509
  205781     193    310099822
  205781     396    550874943
  205826     256    358902379
  205826     344    493565619
  205833     121    127876094
  205833     246    352733608
  205834     155    215970838
  205834     154    214647152
  205908     168    216001417
  205908     190    251588937
  206066     117     96671493
  206066      99     65160108
  206302     156    249439045
  205921     418    620800821
  205921     538    768147073
  206389     174    198513043
  206389     242    319576335
  206207      86     61973027
  206484     101     81064323
  206187     147    147251573
  206484     142    157491030
  206187     176    200563424
  206187     287    407054467
  206187     288    407916279
  206484     349    499128308
  206478      52     71990919
  206484     283    395861719
  206484     356    510523519
  206188       1       862215
